S.No,Epic,Test Scenario,Pre-Requisites,Type,Steps,Expected result,Actual Result,Status,Automatable,Automation,Comment
11,Policy Management,Verify Carrier filter narrows the grid to selected carrier,Policies exist for multiple carriers,Positive,"1. Navigate to /policy; 2. Open Carrier filter; 3. Select ""Aetna""",Every visible row's carrier is Aetna; carrier options sorted alphabetically,,,,,
12,Policy Management,Verify combining Status and Carrier filters returns intersection,Policies with mixed statuses across carriers,Positive,1. Navigate to /policy; 2. Select Status = Active; 3. Select Carrier = Aetna,Grid shows only Active policies for Aetna carrier (intersection of both filters),,,,,
13,Policy Management,Verify Columns toggle can hide and restore grid columns,Policies exist in system,Positive,1. Navigate to /policy; 2. Click Columns toggle; 3. Uncheck e.g. Member; 4. Recheck Member,Member column hides after uncheck and reappears after recheck; other columns unaffected,,,,,
14,Policy Management,Verify Export grid data to Excel downloads a file,Policies exist in system,Positive,1. Navigate to /policy; 2. Click Export grid data to Excel,"Exports an Excel file (filename ""policies"") with policy data; download triggered",,,,,
15,Policy Management,Verify Refresh grid data reloads the grid,Policies exist in system,Positive,1. Navigate to /policy; 2. Click Refresh grid data,Grid data reloads from server without page navigation; loading indicator appears then data renders,,,,,
16,Policy Management,Verify clicking a policy row navigates to the Edit Policy page,Policies exist in system,Positive,1. Navigate to /policy; 2. Click a policy row (not actions cell),Navigates to /policy/edit/{uuid}; Edit Policy page loads with the selected policy,,,,,
17,Policy Management,Verify Actions kebab menu offers Edit and View Ledger,Policies exist in system,Positive,1. Navigate to /policy; 2. Open Actions kebab for a policy,"Menu shows ""Edit"" and ""View Ledger""; Edit navigates to /policy/edit/{uuid}; View Ledger navigates to /policy/ledger/{uuid}",,,,,
18,Policy Management,Verify Add Policy button navigates to Create Policy page,User logged in with write access,Positive,"1. Navigate to /policy; 2. Click ""Add Policy""","Navigates to /policy/create; heading ""Add Policy"" with subtitle ""Create a new policy record.""",,,,,
19,Policy Management,Verify Save button is disabled until all required fields are valid on Create Policy,User on /policy/create,Positive,1. Navigate to /policy/create; 2. Observe Save button with empty form,"Save button is disabled while required fields (Policy No, Enrollment Type, Product, agents, First/Last Name, Effective Date, Status) are missing",,,,,
20,Policy Management,Verify required field validation messages for empty Create Policy form,User on /policy/create,Negative,1. Try to save with empty required fields,"Validation errors shown per missing field e.g. ""Carrier agent is required"", ""Product name is required"", first/last name and effective date messages; Save remains blocked",,,,,
21,Policy Management,Verify First Name validation rejects non-alphabetic characters,User on /policy/create,Negative,"1. Enter ""John123"" as First Name; 2. Submit","Error shown: ""Name must contain only alphabets and spaces""; save blocked",,,,,
22,Policy Management,Verify Phone No validation requires exactly 10 digits,User on /policy/create,Negative,"1. Enter ""12345"" as Phone No; 2. Submit","Phone field masks input (e.g. ""(123) 45""); error ""Phone number must be exactly 10 digits""",,,,,
23,Policy Management,Verify Zip Code validation requires 5 or 9 digits,User on /policy/create,Negative,"1. Enter ""12"" as Zip Code; 2. Submit","Error shown: ""ZIP code must be 5 or 9 digits""; valid 5 or 9 digit zip accepted",,,,,
24,Policy Management,Verify date fields accept only MM/DD/YYYY format,User on /policy/create,Negative,"1. Enter ""2025-13-40"" or invalid text in Effective Date field; 2. Submit","Error shown: ""Invalid date format (MM/DD/YYYY)""",,,,,
25,Policy Management,Verify Enrollment Type dropdown lists all four options,User on /policy/create,Positive,1. Open Enrollment Type dropdown,"Options: Not Applicable, New to Medicare, Not New to Medicare, New to Advantage with Drug Plan; default is Not Applicable",,,,,
26,Policy Management,Verify Policy Status dropdown lists statuses and Termination Date becomes required for non-active statuses,User on /policy/create,Negative,1. Open Policy Status dropdown; 2. Select Lapsed/Cancelled/Expired,"Status options: Active, Lapsed, Cancelled, Expired; when Lapsed/Cancelled/Expired selected, Termination Date required - error ""Termination Date is required"" if empty",,,,,
27,Policy Management,Verify Premium Amount is optional,User on /policy/create,Negative,1. Leave Premium Amount empty while filling all other required fields; 2. Submit,Policy can be saved without a premium amount (no required-field error),,,,,
28,Policy Management,"Verify selecting a Product auto-fills Carrier, Product Type and Line of Business (read-only)",Products configured in system,Positive,1. Open Product Name dropdown; 2. Select a product,"Carrier Name, Product Type and Line of Business fields auto-populate and are disabled/read-only",,,,,
29,Policy Management,"Verify agent dropdowns are searchable and show ""code - name"" options",Agents exist in system,Positive,"1. Open Carrier Agent dropdown; 2. Type ""90058""; 3. Select ""90058 - TestAgent0058 TestAgent0058""","Agent dropdown lists ""code - name"" options; search narrows list; selection populates the field; same for Writing Agent and Pay to Agent",,,,,
30,Policy Management,"Verify Member Type dropdown lists Individual, Group and Worksite",User on /policy/create,Positive,1. Open Member Type dropdown,"Options: Individual, Group, Worksite; default Individual",,,,,
31,Policy Management,Verify State dropdown lists US states,User on /policy/create,Positive,1. Open State dropdown,"State options include all 50 US states (e.g. IL - Illinois, TX - Texas); searchable",,,,,
32,Policy Management,Verify duplicate policy number is rejected for the same carrier,Existing policy number on same carrier,Negative,1. Create policy; 2. Use an existing policy number for an existing carrier; 3. Submit,"Server rejects with ""This policy number already exists for this carrier. Please enter a valid policy number."" mapped to Policy No field",,,,,
33,Policy Management,Verify Commission Structure tab is guarded until the policy is saved,"User on /policy/create, unsaved",Negative,"1. Click ""Commission Structure"" tab without saving","Toast shown: ""Please save the policy to proceed accessing commission structure.""; tab does not open",,,,,
34,Policy Management,Verify create policy happy path with valid data,Valid test agent and product available,Positive,1. Fill all required fields with valid unique data; 2. Click Save; 3. Observe result,Policy saved successfully; success toast shown; redirected back to /policy list; new policy appears (policy number unique per carrier - use new Customer UID/policy no),,,,,
35,Policy Management,Verify Edit Policy page opens prefilled with existing data,Policy exists,Positive,1. Navigate to /policy/edit/{uuid} via list row click,"Header shows policy number + ""Carrier: {carrier}"" + status chip; General tab prefills Policy No, dates, premium, member, address, product data",,,,,
36,Policy Management,Verify Product and Agent fields are disabled in Edit mode,Policy exists,Positive,1. Open Edit Policy for a policy,"Product Name, Carrier Agent, Writing Agent and Pay to Agent fields are disabled/read-only; member and policy info fields remain editable",,,,,
37,Policy Management,Verify editing policy status to Lapsed/Cancelled/Expired enforces Termination Date,Policy exists (Active),Negative,1. Open Edit Policy; 2. Change status to Cancelled; 3. Leave Termination Date empty; 4. Save,"Validation error ""Termination Date is required""; save blocked until termination date entered",,,,,
38,Policy Management,Verify Cancel with unsaved changes on Edit Policy discards via confirmation,"Policy exists, user has modified a field",Negative,1. Open Edit Policy; 2. Modify a field; 3. Click Cancel,Unsaved-changes confirmation (beforeunload) appears; confirming navigates back to /policy without saving; cancelling keeps editing,,,,,
39,Policy Management,Verify back navigation returns to policy list,Policy exists,Positive,1. Open Edit Policy; 2. Click back button,Returns to /policy list; selected policy still visible in grid,,,,,
40,Policy Management,Verify Commission Structure tab renders existing rule cards in Edit mode,Policy with saved commissions,Positive,1. Open Edit Policy; 2. Click Commission Structure tab,"Existing commission rule cards shown with caption ""{V1} | {M1-No limit} | {value}"" e.g. ""Commission V1 | M1-No limit | 10%""; rule configuration and split hierarchy populated",,,,,
41,Policy Management,Verify Add Commission Type drawer opens and allows adding a commission rule,Saved policy in edit mode,Positive,1. Open Commission Structure; 2. Click Add Commission Type; 3. Select type and rule; 4. Add,Drawer opens (testid add-commission-type-drawer) with type/version/rule selection; adding a rule creates a new commission card,,,,,
42,Policy Management,Verify Commission rule config: payout method and payment frequency options,Commission configuration open,Positive,1. Open a commission rule config; 2. Open Payout Method; 3. Open Payment Frequency,"Payout Method options: PERCENTAGE / Fixed Fee; Payment Frequency options: Monthly, Quarterly, Half Yearly, Annual; Month From/Month To editable (blank Month To = ongoing)",,,,,
43,Policy Management,Verify Calculated Commission Amount equals Premium x Percentage,"Premium $18,000, 10% commission",Positive,1. Set Premium Amount 18000; 2. Set Payout Method PERCENTAGE; 3. Set Percentage 10; 4. Observe Calculated Commission Amount,"Calculated Commission Amount = $1,800.00 (Premium x percentage, read-only)",,,,,
44,Policy Management,Verify Commission Split Hierarchy rows total 100% and show dollar split,Commission split editable,Positive,"1. Open Commission Split Hierarchy; 2. Set Agency 5, Sales Leader 20, Agent 75; 3. Observe Total","Rows for Agency / Sales Leader / Agent / Sub Agent; percentage column sums to Total: 100.00% = Expected: 100.00%; dollar amounts = share x commission pool (e.g. $90 / $360 / $1,350 on $1,800)",,,,,
45,Policy Management,Verify Preview Ledger opens and shows projected payment schedule,Saved policy with valid commission,Positive,1. Open Commission Structure; 2. Click Preview Ledger,Modal (testid commission-ledger-preview) opens showing table of Month / Commission Type / Frequency / Amount / Status (Receivable/Paid/Pending badges),,,,,
46,Policy Management,Verify Save Commissions persists commission structure,Saved policy with commission edits,Positive,1. Edit commission split percentages; 2. Click Save Commissions; 3. Reopen policy,Commissions saved via POST/PUT /policy/commission; rules persist after reopening; Save button enabled only when valid,,,,,
47,Policy Management,Verify Application Date must be before Effective Date (backend rule),Valid form otherwise,Negative,1. Set Application Date after Effective Date; 2. Submit,"Server rejects: ""The application date must be before the effective date."" mapped to application date field",,,,,
48,Policy Management,Verify DOB cannot be in the future (backend rule),Valid form otherwise,Negative,1. Set Date of Birth to a future date; 2. Submit,"Server rejects: ""Please provide a valid date of birth. The date cannot be in the future."" mapped to DOB field",,,,,
49,Policy Management,Verify member state must be covered by the selected product (backend rule),Product with limited state coverage,Negative,1. Set member State to a state not covered by selected product; 2. Submit,"Server rejects with product state coverage error (""Product does not provide coverage for member state '{state}'."")",,,,,
50,Policy Management,Verify policy list search field placeholder and helper text,User on /policy,Positive,1. Observe search box,"Placeholder ""Search policies by number, member, agent or carrier..."" and helper text ""Use this search box to filter the data grid. Results will update as you type."" displayed",,,,,
51,Commission Structure,Verify commission split Total less than Expected 100 blocks save,Valid policy saved; Commission Structure tab open,Negative,1. Open Commission Structure; 2. Add split rule with percentage totaling <100; 3. Observe Total vs Expected; 4. Try Save,"Split Total shows the summed percentage, Expected shows 100.000 %; Save is blocked while Total != Expected",,,,,
52,Commission Structure,Verify commission split above 100 shows exceed message and blocks save,Valid policy saved; Commission Split Hierarchy editable,Negative,1. Open Commission Split Hierarchy; 2. Alter split inputs so total exceeds 100%; 3. Observe error; 4. Try Save,"Error message shown: ""These splits cannot add up to more than 100%. Reduce another split or enter a smaller value.""; save/update blocked until total is corrected",,,,,
53,Commission Structure,Verify Month From after Month To shows validation error,Valid policy saved; Commission Structure tab open,Negative,1. Add commission rule; 2. Set From Month later than To Month; 3. Save rule,"Inline error shown: ""To month should be greater than or equal to From month""; rule not saved",,,,,
54,Commission Structure,Verify commission rule with empty rule name is rejected,Valid policy saved; Commission Structure tab open,Negative,1. Add commission rule; 2. Leave Name empty; 3. Try to save rule,Error shown for empty rule name; rule cannot be saved without a name,,,,,
55,Commission Structure,Verify duplicate commission rule cannot be added,Policy with an existing commission rule,Negative,1. Add a second rule identical in type/month to an existing one; 2. Save,Duplicate rule is rejected with an error; only one rule allowed for the same configuration,,,,,
56,Commission Structure,Verify commission percentage above maximum limit is rejected,Valid policy saved; Commission Structure tab open,Negative,1. Enter a percentage exceeding the allowed max (e.g. 1000); 2. Try to save rule,Server/UI rejects the percentage as invalid (max 999); error surfaced on the percentage field,,,,,
57,Commission Structure,Verify FMV product with Percentage payout forces Fixed Fee,Policy with FMV product; Commission Structure tab open,Negative,1. Add a commission rule; 2. Attempt to use Percentage/Percentage of MF payout; 3. Observe Payout Type,For FMV products the app forces/shows a warning to use Fixed Fee payout; Percentage payout not applied,,,,,
58,Commission Structure,Verify sub-agent split without reporting manager shows hierarchy error,Valid policy; sub-agent selected in split hierarchy,Negative,1. Add a split with a sub-agent; 2. Leave reporting hierarchy incomplete; 3. Try Save,Hierarchy/relationship error toast surfaced (reporting agent missing/invalid); split not saved,,,,,
59,Member Information,Verify Dependents history To date before From date is rejected,Sections/Edit Policy; Dependents History visible,Negative,1. In Dependents History set To earlier than From; 2. Save,"Inline error ""To should be greater than or equal to From""; entry rejected",,,,,
60,Member Information,Verify Dependents history entry without From or To date is rejected,Sections/Edit Policy; Dependents History visible,Negative,1. Add dependents history row leaving From blank; 2. Try to save,"Inline error ""From should be a valid date"" (analogous for blank To); row not accepted",,,,,
61,Member Information,Verify Dependents No accepts only a valid positive number,Sections/Edit Policy; Dependents section visible,Negative,1. Enter 0 or leave Dependents No blank; 2. Try to save,"Error ""No. of dependents should be valid number""; save blocked",,,,,
62,Policy Management,Verify Termination Date before Effective Date is rejected,Policy with saved data; status active,Negative,1. Edit policy; 2. Set Termination Date before Effective Date; 3. Save,Backend validation error; termination must be after the effective date; save blocked,,,,,
63,Policy Management,Verify Application Date equal to Effective Date is rejected,Products and agents configured,Negative,1. Create policy; 2. Set Application Date same as Effective Date; 3. Try save,Backend rule rejects: application date must be strictly before the effective date,,,,,
64,Policy Management,Verify policy list load failure surfaces error toast and retry,Network/backend fault on /policy,Negative,1. Navigate to Policy list with API failing; 2. Observe page,"""Something went wrong."" error toast shown; Refresh/retry re-loads the grid on recovery",,,,,
65,Policy Management,Verify blank Policy Number is blocked on Create,Products and agents configured,Negative,1. Open Create Policy; 2. Leave Policy No blank; 3. Try save,"Validation error ""Policy number cannot be blank""; save blocked",,,,,
66,Policy Management,Verify negative Premium Amount is rejected,Create Policy; Basic Details,Negative,1. Enter a negative premium amount; 2. Try save,Premium validation rejects negative value; save blocked with field error,,,,,
67,Policy Management,Verify Create Policy API failure keeps form data and shows toast,Backend save failure induced,Negative,1. Fill valid Create Policy form; 2. Trigger save failure; 3. Observe,Error toast shown; modal/page stays with entered values intact for retry,,,,,
