S.No,Epic,Test Scenario,Pre-Requisites,Type,Steps,Expected result,Actual Result,Status,Automatable,Automation,Comment
51,Payment Processing - Miscellaneous Charges,Verify Amount with 3+ decimals is accepted client-side,User opens Add modal; agent + description filled,Negative,1. Fill agent and description; 2. Enter 25.567; 3. Observe Save,Save enables client-side; backend precision policy to be confirmed during integration (may reject on save),,,,,
52,Payment Processing - Miscellaneous Charges,Verify search with no matching results shows empty state,Charges exist in grid,Negative,1. Type a non-existent txn id/agent in search; 2. Observe grid,Grid shows the No Records Found / empty state when no row matches,,,,,
53,Payment Processing - Miscellaneous Charges,Verify Add save failure shows error toast and keeps data,Backend save failure induced,Negative,1. Fill valid Add modal data; 2. Trigger save failure; 3. Observe,Error toast shown; modal stays open with entered values preserved for retry,,,,,
54,Payment Processing - Miscellaneous Charges,Verify batch Process failure shows toast and rows remain unprocessed,Backend process failure induced,Negative,1. Select charge rows; 2. Click Process with backend failure; 3. Observe,Error toast shown; rows remain selected/unchanged; no partial batch applied,,,,,
55,Payment Processing - Miscellaneous Charges,Verify Amount field accepts large values within no client max,User opens Add modal; agent + description filled,Positive,1. Fill agent and description; 2. Enter 999999999999; 3. Observe Save,Save enables - no client-side length cap on amount; backend limits verified in integration,,,,,
56,Payment Processing - Miscellaneous Charges,Verify Status column is present in the misc charges grid,At least one charge exists in grid,Positive,1. Observe grid header columns,"Grid shows Status column (in addition to Txn Date, Txn ID, Agent, Amount, Payment Batch, Payment Date) reflecting the charge lifecycle",,,,,
57,Payment Processing - Miscellaneous Charges,Verify saved misc charge gets a dynamic TX-prefixed Transaction ID,One charge saved via Add modal,Positive,1. Save a misc charge; 2. Capture the grid row Txn ID; 3. Assert its format,Row Txn ID is auto-generated and unique per record; matches pattern TX- + 6 alphanumeric chars (regex ^TX-[A-Z0-9]{6}$); value is dynamic and must not be hard-coded,,,,,
58,Payment Processing - Miscellaneous Charges,Verify processing a charge removes it from the Misc Charges grid,At least one unprocessed charge exists,Positive,1. Select charge row; 2. Click Process; 3. Return to Misc Charges grid,Processed record no longer listed in Misc Charges grid; only pending/unprocessed charges remain,,,,,
59,Payment Processing - Miscellaneous Charges,Verify processed misc charge appears in Payables grid,One misc charge processed,Positive,1. Navigate to Payables (Pending Payments); 2. Locate the processed charge,"Record appears in Payables with dynamic Txn ID matching ^TX-[A-Z0-9]{6}$ (capture it), Paid To Agent (agent first+last name), Amount in currency, Type MISCELLANEOUS_CHARGE",,,,,
60,Payment Processing - Miscellaneous Charges,Verify misc charge amount displays negative in parentheses in Payables,Processed misc charge with a debit amount,Positive,1. Process a misc charge of 100; 2. Open Payables; 3. Locate the row,"Amount rendered as (.00) - negative/debit values wrapped in parentheses, 2-decimal currency",,,,,
61,Payment Processing - Miscellaneous Charges,Verify misc charge Type column shows MISCELLANEOUS_CHARGE in Payables,Processed misc charge present in Payables,Positive,1. Open Payables; 2. Locate the misc charge row; 3. Observe Type column,"Type shows MISCELLANEOUS_CHARGE, distinct from COMMISSION / MMP statement rows",,,,,
